% =============================================
% Instituto Tecnológico de Aeronáutica - 2008
%   .: Ricardo Rodrigues & Thiago Trigo :.
% =============================================

@relation imageHistogram
@attribute TOM_0 REAL
@attribute TOM_1 REAL
@attribute TOM_2 REAL
@attribute TOM_3 REAL
@attribute TOM_4 REAL
@attribute TOM_5 REAL
@attribute TOM_6 REAL
@attribute TOM_7 REAL
@attribute TOM_8 REAL
@attribute TOM_9 REAL
@attribute TOM_10 REAL
@attribute TOM_11 REAL
@attribute TOM_12 REAL
@attribute TOM_13 REAL
@attribute TOM_14 REAL
@attribute TOM_15 REAL
@attribute TOM_16 REAL
@attribute TOM_17 REAL
@attribute TOM_18 REAL
@attribute TOM_19 REAL
@attribute TOM_20 REAL
@attribute TOM_21 REAL
@attribute TOM_22 REAL
@attribute TOM_23 REAL
@attribute TOM_24 REAL
@attribute TOM_25 REAL
@attribute TOM_26 REAL
@attribute TOM_27 REAL
@attribute TOM_28 REAL
@attribute TOM_29 REAL
@attribute TOM_30 REAL
@attribute TOM_31 REAL
@attribute TOM_32 REAL
@attribute TOM_33 REAL
@attribute TOM_34 REAL
@attribute TOM_35 REAL
@attribute TOM_36 REAL
@attribute TOM_37 REAL
@attribute TOM_38 REAL
@attribute TOM_39 REAL
@attribute TOM_40 REAL
@attribute TOM_41 REAL
@attribute TOM_42 REAL
@attribute TOM_43 REAL
@attribute TOM_44 REAL
@attribute TOM_45 REAL
@attribute TOM_46 REAL
@attribute TOM_47 REAL
@attribute TOM_48 REAL
@attribute TOM_49 REAL
@attribute TOM_50 REAL
@attribute TOM_51 REAL
@attribute TOM_52 REAL
@attribute TOM_53 REAL
@attribute TOM_54 REAL
@attribute TOM_55 REAL
@attribute TOM_56 REAL
@attribute TOM_57 REAL
@attribute TOM_58 REAL
@attribute TOM_59 REAL
@attribute TOM_60 REAL
@attribute TOM_61 REAL
@attribute TOM_62 REAL
@attribute TOM_63 REAL
@attribute TOM_64 REAL
@attribute TOM_65 REAL
@attribute TOM_66 REAL
@attribute TOM_67 REAL
@attribute TOM_68 REAL
@attribute TOM_69 REAL
@attribute TOM_70 REAL
@attribute TOM_71 REAL
@attribute TOM_72 REAL
@attribute TOM_73 REAL
@attribute TOM_74 REAL
@attribute TOM_75 REAL
@attribute TOM_76 REAL
@attribute TOM_77 REAL
@attribute TOM_78 REAL
@attribute TOM_79 REAL
@attribute TOM_80 REAL
@attribute TOM_81 REAL
@attribute TOM_82 REAL
@attribute TOM_83 REAL
@attribute TOM_84 REAL
@attribute TOM_85 REAL
@attribute TOM_86 REAL
@attribute TOM_87 REAL
@attribute TOM_88 REAL
@attribute TOM_89 REAL
@attribute TOM_90 REAL
@attribute TOM_91 REAL
@attribute TOM_92 REAL
@attribute TOM_93 REAL
@attribute TOM_94 REAL
@attribute TOM_95 REAL
@attribute TOM_96 REAL
@attribute TOM_97 REAL
@attribute TOM_98 REAL
@attribute TOM_99 REAL
@attribute TOM_100 REAL
@attribute TOM_101 REAL
@attribute TOM_102 REAL
@attribute TOM_103 REAL
@attribute TOM_104 REAL
@attribute TOM_105 REAL
@attribute TOM_106 REAL
@attribute TOM_107 REAL
@attribute TOM_108 REAL
@attribute TOM_109 REAL
@attribute TOM_110 REAL
@attribute TOM_111 REAL
@attribute TOM_112 REAL
@attribute TOM_113 REAL
@attribute TOM_114 REAL
@attribute TOM_115 REAL
@attribute TOM_116 REAL
@attribute TOM_117 REAL
@attribute TOM_118 REAL
@attribute TOM_119 REAL
@attribute TOM_120 REAL
@attribute TOM_121 REAL
@attribute TOM_122 REAL
@attribute TOM_123 REAL
@attribute TOM_124 REAL
@attribute TOM_125 REAL
@attribute TOM_126 REAL
@attribute TOM_127 REAL
@attribute TOM_128 REAL
@attribute TOM_129 REAL
@attribute TOM_130 REAL
@attribute TOM_131 REAL
@attribute TOM_132 REAL
@attribute TOM_133 REAL
@attribute TOM_134 REAL
@attribute TOM_135 REAL
@attribute TOM_136 REAL
@attribute TOM_137 REAL
@attribute TOM_138 REAL
@attribute TOM_139 REAL
@attribute TOM_140 REAL
@attribute TOM_141 REAL
@attribute TOM_142 REAL
@attribute TOM_143 REAL
@attribute TOM_144 REAL
@attribute TOM_145 REAL
@attribute TOM_146 REAL
@attribute TOM_147 REAL
@attribute TOM_148 REAL
@attribute TOM_149 REAL
@attribute TOM_150 REAL
@attribute TOM_151 REAL
@attribute TOM_152 REAL
@attribute TOM_153 REAL
@attribute TOM_154 REAL
@attribute TOM_155 REAL
@attribute TOM_156 REAL
@attribute TOM_157 REAL
@attribute TOM_158 REAL
@attribute TOM_159 REAL
@attribute TOM_160 REAL
@attribute TOM_161 REAL
@attribute TOM_162 REAL
@attribute TOM_163 REAL
@attribute TOM_164 REAL
@attribute TOM_165 REAL
@attribute TOM_166 REAL
@attribute TOM_167 REAL
@attribute TOM_168 REAL
@attribute TOM_169 REAL
@attribute TOM_170 REAL
@attribute TOM_171 REAL
@attribute TOM_172 REAL
@attribute TOM_173 REAL
@attribute TOM_174 REAL
@attribute TOM_175 REAL
@attribute TOM_176 REAL
@attribute TOM_177 REAL
@attribute TOM_178 REAL
@attribute TOM_179 REAL
@attribute TOM_180 REAL
@attribute TOM_181 REAL
@attribute TOM_182 REAL
@attribute TOM_183 REAL
@attribute TOM_184 REAL
@attribute TOM_185 REAL
@attribute TOM_186 REAL
@attribute TOM_187 REAL
@attribute TOM_188 REAL
@attribute TOM_189 REAL
@attribute TOM_190 REAL
@attribute TOM_191 REAL
@attribute TOM_192 REAL
@attribute TOM_193 REAL
@attribute TOM_194 REAL
@attribute TOM_195 REAL
@attribute TOM_196 REAL
@attribute TOM_197 REAL
@attribute TOM_198 REAL
@attribute TOM_199 REAL
@attribute TOM_200 REAL
@attribute TOM_201 REAL
@attribute TOM_202 REAL
@attribute TOM_203 REAL
@attribute TOM_204 REAL
@attribute TOM_205 REAL
@attribute TOM_206 REAL
@attribute TOM_207 REAL
@attribute TOM_208 REAL
@attribute TOM_209 REAL
@attribute TOM_210 REAL
@attribute TOM_211 REAL
@attribute TOM_212 REAL
@attribute TOM_213 REAL
@attribute TOM_214 REAL
@attribute TOM_215 REAL
@attribute TOM_216 REAL
@attribute TOM_217 REAL
@attribute TOM_218 REAL
@attribute TOM_219 REAL
@attribute TOM_220 REAL
@attribute TOM_221 REAL
@attribute TOM_222 REAL
@attribute TOM_223 REAL
@attribute TOM_224 REAL
@attribute TOM_225 REAL
@attribute TOM_226 REAL
@attribute TOM_227 REAL
@attribute TOM_228 REAL
@attribute TOM_229 REAL
@attribute TOM_230 REAL
@attribute TOM_231 REAL
@attribute TOM_232 REAL
@attribute TOM_233 REAL
@attribute TOM_234 REAL
@attribute TOM_235 REAL
@attribute TOM_236 REAL
@attribute TOM_237 REAL
@attribute TOM_238 REAL
@attribute TOM_239 REAL
@attribute TOM_240 REAL
@attribute TOM_241 REAL
@attribute TOM_242 REAL
@attribute TOM_243 REAL
@attribute TOM_244 REAL
@attribute TOM_245 REAL
@attribute TOM_246 REAL
@attribute TOM_247 REAL
@attribute TOM_248 REAL
@attribute TOM_249 REAL
@attribute TOM_250 REAL
@attribute TOM_251 REAL
@attribute TOM_252 REAL
@attribute TOM_253 REAL
@attribute TOM_254 REAL
@attribute TOM_255 REAL
@attribute class {carro,folha}

@data
6,22,35,26,33,32,40,55,39,61,53,89,92,118,121,184,351,596,910,1318,1940,2523,3361,3972,4629,5102,5399,5342,5514,5254,5159,5170,5095,4850,4596,4276,3935,3893,3774,3695,3600,3390,3397,3026,2824,2853,2541,2623,2544,2590,2562,2600,2672,2667,2638,2706,2830,2702,2791,2798,2868,3001,2954,2909,2864,2952,2772,2808,2639,2754,2632,2551,2588,2507,2415,2310,2289,2246,2199,2143,2120,2059,2110,2121,2165,2038,2081,2104,2050,2093,2037,2017,2121,2010,2020,2018,2095,2031,2029,2111,2098,2058,2087,2094,2061,2147,2096,2130,2136,2121,2252,2124,2343,2312,2314,2298,2370,2322,2358,2289,2317,2253,2268,2264,2240,2122,2137,2083,2021,1998,2053,1927,1993,1927,2000,1949,1901,1904,1876,1960,1830,2009,1852,1943,1847,1764,1869,1843,1875,1773,1844,1788,1802,1761,1849,1811,1715,1749,1766,1738,1827,1825,1826,1793,1820,1802,1776,1762,1815,1792,1802,1790,1811,1738,1833,1843,1868,1790,1867,1864,1825,1835,1862,1773,1835,1807,1849,1797,1802,1790,1712,1760,1803,1692,1776,1824,1751,1736,1850,1758,1674,1734,1777,1700,1682,1693,1672,1579,1546,1555,1443,1438,1357,1303,1148,1216,1143,1042,1003,1028,933,883,843,756,678,725,703,659,688,640,639,613,582,645,577,627,587,623,690,656,634,713,780,709,785,875,890,943,1119,1453,1854,2746,3834,6715,9663,18682,carro
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,5,2,3,3,3,5,8,8,16,8,17,23,34,36,71,125,242,435,734,1191,1731,2580,3359,3765,4075,4241,4163,4252,3882,3843,3829,4067,4468,5354,6315,7085,6659,5586,4943,4414,4369,4240,4278,4050,4005,3981,3892,3871,3705,3720,3616,3746,3756,3805,3997,4014,4140,4232,4437,4529,4550,4473,4628,4649,4420,4390,4268,4151,4150,4273,4248,3988,3790,3647,3484,3406,3395,3368,3361,3377,3394,3321,3250,3482,3349,3252,3111,3069,2933,2814,2744,2595,2481,2590,2578,2448,2474,2442,2312,2246,2283,2200,2098,2151,2033,2012,2048,2088,1948,1927,1914,1941,1864,1830,1849,1924,1790,1820,1847,1843,1856,1839,1843,1830,1798,1863,1788,1809,1758,1826,1942,1969,1981,2042,1982,2031,2003,2048,1946,1872,1908,1894,1667,1719,1643,1685,1748,1596,1579,1521,1602,1555,1536,1601,1535,1557,1619,1721,1856,1870,1827,1995,1906,1882,1921,1883,1873,1759,1716,1676,1634,1591,1487,1552,1479,1533,1505,1461,1396,1484,1405,1348,1353,1379,1350,1371,1316,1303,1272,1263,1257,1192,1247,1232,1151,1144,1050,992,982,894,934,848,802,767,762,754,729,756,775,773,694,750,708,730,732,800,838,837,894,805,877,1005,866,909,945,1096,1169,1240,1386,1512,1380,1470,1402,1305,1462,1551,1918,2832,3109,9533,carro
3,21,23,20,24,19,27,23,25,41,44,41,61,86,95,155,220,449,813,1380,1891,2799,3207,3370,3180,2742,2396,2138,1856,1740,1764,1691,1779,1764,1863,2142,2187,2378,2578,2732,2798,2858,2849,2909,2819,2877,2888,2865,3013,3150,3200,3270,3441,3556,3592,3777,3757,3844,3896,3971,4042,4130,4091,4027,4040,4046,3949,3955,4096,4038,3980,3884,4065,3996,4045,3992,4084,3910,3909,3895,4003,4072,4102,4224,4265,4246,4290,4061,3872,3685,3534,3486,3512,3359,3376,3379,3255,3254,3144,3149,2975,2846,2823,2650,2506,2340,2277,2175,2147,2064,2023,2007,1973,1970,1999,1941,1916,1998,1984,2001,2036,2025,2043,2089,2047,1994,2041,1933,2003,1987,2041,1940,1907,1902,1854,1885,1806,1853,1841,1749,1681,1714,1668,1612,1538,1606,1616,1538,1532,1554,1572,1544,1530,1477,1421,1465,1397,1500,1558,1539,1598,1617,1695,1691,1767,1802,1817,1896,1961,1845,1947,1951,1998,1975,1978,2031,1977,1947,1945,1896,1865,1769,1701,1645,1594,1608,1514,1389,1391,1310,1313,1223,1156,1098,1161,1171,1053,1092,1080,1041,991,1031,974,881,894,911,866,866,931,920,903,958,997,1015,1045,958,1033,975,1022,945,968,975,982,1067,1069,1063,1018,1041,1174,1076,1180,1137,1164,1166,1151,1140,1078,1006,979,991,964,961,902,899,913,842,870,954,1085,1069,1226,1611,2285,3173,5120,18317,carro
0,0,2,2,9,3,5,7,8,7,5,10,11,11,9,22,26,24,30,41,48,53,56,80,93,134,218,289,484,767,1161,1737,2435,3239,3969,4548,4763,5207,5208,5345,5579,5599,5526,5391,5256,5198,5009,4795,4536,4787,4599,4669,4722,4826,4708,4770,4928,4747,4611,4618,4612,4461,4157,4038,3787,3793,3744,3844,3834,3825,3925,4138,4181,4411,4537,4530,4825,4834,4944,5164,4996,4988,4924,4793,4532,4501,4333,4247,3980,3930,3898,3704,3625,3569,3553,3438,3308,3248,3154,3093,2967,2871,2650,2718,2514,2434,2415,2262,2174,2138,1986,1977,1919,1800,1796,1769,1659,1674,1621,1562,1482,1589,1475,1451,1418,1455,1434,1388,1278,1317,1256,1269,1290,1245,1227,1144,1161,1201,1176,1104,1104,1102,1018,1109,1083,1012,1074,979,962,965,922,907,809,860,849,890,866,880,922,917,914,902,949,939,977,1044,1068,1021,1049,1189,1214,1184,1279,1371,1436,1430,1624,1634,1757,1780,1811,1819,1808,1788,1703,1770,1796,1743,1721,1704,1633,1672,1556,1539,1526,1512,1428,1330,1338,1361,1263,1217,1224,1206,1073,1068,1092,1054,1016,978,974,977,1062,942,934,965,1003,903,944,933,964,958,961,938,914,945,885,854,894,840,830,785,776,746,680,675,632,564,579,549,506,534,492,498,455,438,400,388,407,454,680,1100,1936,3396,5386,26412,carro
19,65,148,182,252,273,359,499,859,1420,2241,3020,3687,4030,4182,4300,4066,3787,3492,3302,3384,3429,3300,3429,3509,3355,3406,3368,3434,3353,3332,3300,3420,3538,3512,3461,3275,3106,3169,2843,2840,2738,2611,2577,2601,2512,2436,2332,2262,2288,2366,2361,2315,2446,2473,2542,2641,2759,2811,3032,3158,3351,3348,3461,3489,3624,3724,3615,3871,3896,3909,3964,4155,4186,4238,4374,4350,4459,4372,4307,4285,4264,4189,4181,4109,4235,4069,4030,4047,3791,3752,3519,3365,3327,3143,3026,2796,2772,2683,2543,2442,2351,2290,2146,2140,1977,1909,1915,1862,1806,1772,1862,1733,1643,1635,1571,1532,1545,1480,1486,1360,1291,1313,1260,1255,1262,1275,1182,1225,1199,1221,1218,1190,1160,1199,1261,1237,1337,1308,1360,1401,1417,1391,1470,1392,1447,1387,1378,1379,1309,1335,1373,1310,1355,1395,1363,1390,1293,1443,1489,1404,1455,1487,1465,1356,1446,1525,1451,1481,1425,1443,1447,1402,1409,1410,1401,1317,1354,1388,1256,1280,1196,1191,1121,1167,1155,1121,1046,1046,971,1037,986,941,917,882,856,851,854,789,803,762,812,743,743,692,666,699,708,672,663,657,700,631,647,632,626,654,649,635,687,671,674,741,727,732,797,782,830,775,802,863,877,852,846,889,924,911,928,901,943,998,1082,1042,1176,1150,1169,1207,1253,1190,1310,1584,2066,2817,4352,5900,25508,carro
77,226,407,467,627,971,1180,1358,1427,1376,1570,1475,1579,1438,1505,1364,1348,1380,1412,1482,1640,1635,1698,1761,1732,1862,1846,1939,2018,2030,2312,2355,2342,2460,2455,2427,2347,2275,2295,2335,2329,2433,2440,2540,2616,2715,2856,2972,3143,3230,3317,3375,3502,3480,3473,3431,3370,3260,3236,3248,3106,3000,2992,3004,2988,2786,2897,2821,2783,2809,2612,2664,2621,2663,2556,2570,2629,2707,2903,2974,3133,3435,3593,3948,4250,4706,5127,5587,5941,6096,6264,6233,6339,6425,6163,5818,5701,5677,5427,5059,4889,4673,4510,4417,3998,3914,3737,3529,3433,3148,3148,2971,2901,2929,2777,2706,2537,2498,2345,2350,2297,2225,2229,2212,2216,2225,2194,2148,2116,2058,2063,1979,1918,1794,1766,1761,1689,1747,1773,1719,1655,1621,1638,1568,1569,1611,1638,1588,1592,1586,1561,1608,1562,1550,1544,1569,1480,1443,1433,1517,1398,1341,1427,1279,1269,1224,1161,1191,1108,1144,1073,1106,1040,1009,1017,984,922,917,878,885,899,882,789,803,763,737,694,607,764,609,629,620,588,595,580,551,490,502,496,538,516,472,518,459,482,520,473,475,465,473,454,484,490,478,443,470,426,442,439,415,370,399,358,312,322,346,318,319,344,299,312,300,312,298,346,276,286,326,297,329,301,308,316,279,298,323,361,426,494,655,884,1176,1720,2717,4195,39329,carro
89,200,221,233,210,283,412,706,972,1421,1876,2060,2089,1895,1791,1658,1435,1354,1340,1251,1184,1198,1159,1233,1233,1252,1422,1432,1507,1563,1579,1645,1636,1661,1680,1706,1746,1760,1799,1792,1761,1855,1896,1848,1856,1998,1974,2151,2137,2206,2249,2193,2128,2221,2277,2259,2249,2229,2308,2359,2390,2445,2511,2514,2574,2657,2749,2862,3135,3350,3602,3860,4352,4682,5167,5857,6306,6942,7407,7784,7774,7840,7561,7220,6784,6656,6280,5997,5479,5239,4874,4689,4497,4440,4224,4137,4202,3910,3739,3686,3720,3525,3422,3618,3315,3291,3049,2998,2821,2674,2525,2328,2278,2236,2107,2128,2050,2008,1946,1816,1762,1773,1720,1714,1617,1689,1652,1608,1566,1643,1498,1511,1507,1444,1495,1463,1488,1455,1434,1437,1391,1505,1424,1429,1528,1535,1486,1531,1536,1531,1560,1697,1662,1846,1802,1944,1961,1873,1906,1833,1827,1781,1711,1636,1577,1506,1475,1409,1385,1291,1222,1175,1109,1063,1021,1080,1064,1037,1004,1022,934,940,867,816,876,932,923,879,834,852,777,823,752,836,802,786,786,748,675,650,609,555,622,678,758,880,873,955,1101,1006,991,955,1015,1116,1035,1014,958,837,915,1124,1181,1278,1461,1278,1160,1180,1141,1103,1075,967,932,875,892,911,961,989,932,962,976,966,1005,959,998,1055,1521,1813,1912,2730,1992,1970,1757,5169,6296,9050,5039,544,carro
12,98,230,252,266,261,281,251,273,266,319,367,422,509,547,700,846,1086,1347,1718,2144,2831,3538,4503,5464,6016,6441,6471,6439,6312,6177,6042,5890,5722,5485,5211,5112,5104,4800,4710,4604,4455,4433,4382,4128,4141,4025,4003,3806,3668,3449,3521,3253,3173,3112,3053,2991,2953,2888,2827,2798,2770,2576,2669,2656,2511,2493,2490,2485,2349,2390,2315,2468,2439,2352,2342,2445,2360,2414,2457,2373,2370,2449,2491,2396,2393,2308,2241,2209,2280,2125,2152,2196,2048,1991,1983,1901,1859,1775,1702,1695,1659,1601,1604,1553,1542,1549,1447,1533,1475,1447,1490,1398,1492,1436,1406,1471,1418,1421,1417,1392,1349,1331,1395,1357,1393,1346,1392,1392,1435,1366,1373,1420,1410,1475,1420,1544,1672,1703,1762,1832,1931,1910,1969,2158,2128,2253,2098,2278,2240,2020,1825,1783,1581,1549,1482,1499,1458,1463,1466,1445,1553,1562,1500,1518,1514,1503,1470,1563,1555,1574,1604,1660,1679,1717,1690,1728,1838,1881,1833,1848,1847,1797,1908,1853,1826,1828,1746,1781,1699,1639,1636,1538,1493,1413,1383,1343,1394,1290,1296,1294,1260,1209,1249,1314,1358,1398,1491,1538,1559,1568,1562,1475,1541,1564,1684,1665,1680,1634,1702,1747,1926,2131,2255,2080,2092,2155,2315,2292,2172,2061,1852,1597,1445,1315,1230,1153,1128,1080,1045,998,1004,914,818,767,847,757,775,726,988,1148,1395,1526,2668,6936,2151,carro
32,246,458,476,571,516,630,752,1050,1309,1568,1977,2227,2327,2251,2275,2143,1991,1886,1892,1820,1842,1788,1747,1774,1802,1827,1816,1996,2118,2287,2467,2609,2828,3118,3444,3549,3659,3504,3266,3104,2823,2579,2421,2343,2125,2076,1891,1916,1927,1805,1799,1742,1766,1725,1804,1695,1764,1766,1680,1692,1720,1689,1807,1778,1833,1802,1859,1906,1852,1911,2023,1963,2009,2014,2122,2140,2207,2269,2229,2258,2221,2345,2429,2453,2453,2433,2429,2470,2409,2466,2511,2548,2431,2443,2565,2469,2543,2631,2477,2591,2576,2556,2469,2600,2694,2585,2713,2592,2671,2631,2709,2875,2907,2841,2909,2915,2888,2921,2874,2885,2956,3022,3017,3169,3167,3137,3200,3121,3120,3305,3333,3356,3422,3466,3594,3658,3873,3874,3955,4083,4238,4271,4334,4437,4586,4708,4803,4962,4920,5063,4683,4587,4353,4045,3908,3483,3242,2948,2719,2513,2289,2055,2032,1871,1807,1644,1596,1500,1548,1462,1445,1339,1353,1365,1279,1236,1282,1168,1184,1114,1008,985,948,873,896,861,897,855,806,820,731,722,759,683,781,721,663,695,677,636,607,609,585,527,590,532,513,562,551,574,499,463,471,499,485,500,466,476,486,481,452,455,474,448,459,397,413,443,415,414,386,367,357,377,348,397,408,417,402,452,409,605,878,1084,1834,1983,3527,4256,7809,7402,12828,4598,2861,1805,779,carro
0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,2,0,0,0,0,2,3,2,5,5,4,6,4,5,8,8,15,8,16,23,26,27,30,51,67,71,110,143,162,198,270,327,350,469,662,744,977,1091,1343,1528,1922,2214,2516,2805,3017,3388,3556,3629,3619,3663,3744,3861,3979,4426,4783,5095,5537,5759,5749,5918,5699,5684,5595,5768,5666,5877,5826,5936,5767,5798,5514,5568,5453,5589,5576,5476,5317,5216,5103,5155,5129,5327,5465,5497,5516,5407,5017,5231,5332,5228,5413,5524,5637,5731,5814,5629,5379,5289,5160,4960,4894,4759,4543,4347,4203,3991,3769,3823,3687,3693,3481,3503,3457,3524,3505,3653,3951,4083,4157,4365,4361,4336,4312,4229,4298,4123,4124,4119,3839,3597,3417,3230,2895,2680,2465,2422,2151,1927,1758,1483,1325,1234,1092,976,898,891,816,760,758,727,690,614,635,640,619,620,631,616,671,744,794,777,818,786,657,640,623,565,593,535,552,517,443,428,448,458,429,426,403,373,315,340,349,377,426,422,496,557,654,652,703,803,768,766,779,813,785,791,757,789,703,787,844,885,878,880,818,743,675,653,610,563,548,460,489,500,528,536,557,608,645,745,658,649,599,452,374,304,286,273,331,412,618,969,1769,16147,carro
